"County ","Total Precincts ","Precincts Reporting ","Obama ","McCain ","Other",""
"Fayette ","27","27","3009","7572","82",""
"Fisher ","11","11","687","1083","14",""
"Floyd ","6","6","729","1784","7",""
"Foard ","5","5","208","327","13",""
"Fort Bend ","140","140","98136","102846","1011",""
"Franklin ","9","9","1094","3394","51",""
"Freestone ","16","16","2032","5201","41",""
"Frio ","10","10","2405","1644","13",""
"Gaines ","9","9","650","3385","27",""
"Galveston ","102","102","41543","61844","735",""
"Garza ","7","7","375","1355","15",""
"Gillespie ","15","15","2570","9559","101",""
"Glasscock ","5","5","52","502","1",""
"Goliad ","12","12","1329","2298","17",""
"Gonzales ","14","14","2158","4062","37",""
"Gray ","7","7","1153","6920","49",""
"Grayson ","55","55","13892","31122","342",""
"Gregg ","24","24","13130","29159","181",""
"Grimes ","15","15","2704","5561","56",""
"Guadalupe ","32","32","16070","30750","361",""
"Hale ","30","30","2693","7139","54",""
"Hall ","8","8","324","930","8",""
"Hamilton ","12","12","862","2875","31",""
"Hansford ","9","9","239","1847","12",""
"Hardeman ","6","6","373","1199","23",""
"Hardin ","21","21","3935","16589","155",""
"Harris ","875","875","588611","570143","6766",""
"Harrison ","26","26","8874","17085","140",""
"Hartley ","7","7","250","1711","22",""
"Haskell ","11","11","699","1388","25",""
"Hays ","37","37","28416","29624","720",""
"Hemphill ","9","9","216","1342","7",""
"Henderson ","31","31","7890","20810","195",""
"Hidalgo ","141","141","90122","39614","717",""
"Hill ","24","24","3802","9220","104",""
"Hockley ","17","17","1794","5789","46",""
"Hood ","17","17","5078","17269","171",""
"Hopkins ","22","22","3528","9297","75",""
"Houston ","22","22","2653","5869","56",""
"Howard ","14","14","2539","7020","108",""
"Hudspeth ","6","6","430","458","8",""
"Hunt ","37","37","8591","20571","256",""
"Hutchinson ","9","9","1321","7358","71",""
"Irion ","6","6","164","644","9",""
"Jack ","7","7","470","2527","18",""
"Jackson ","10","10","1251","3560","23",""
"Jasper ","21","21","3636","8960","85",""
"Jeff Davis ","6","6","467","746","16",""
"Jefferson ","117","117","44854","42877","436",""
"Jim Hogg ","6","6","1336","472","7",""
"Jim Wells ","22","22","6683","4825","53",""
"Johnson ","35","35","12903","36683","355",""
"Jones ","15","15","1525","4197","62",""
"Karnes ","16","16","1710","2658","17",""
"Kaufman ","43","43","11157","23727","209",""
"Kendall ","12","12","3591","12960","107",""
"Kenedy ","7","7","108","93","1",""
"Kent ","7","7","99","342","6",""
"Kerr ","21","21","5564","16729","156",""
"Kimble ","8","8","341","1487","10",""
"King ","5","5","8","151","3",""
"Kinney ","5","5","633","907","11",""
"Kleberg ","21","21","5251","4539","68",""
"Knox ","11","11","366","986","15",""
"La Salle ","7","7","1051","713","10",""
"La Vaca ","20","20","1867","6286","51",""
"Lamar ","32","32","5240","12940","137",""
"Lamb ","13","13","1156","3344","18",""
"Lampasas ","11","11","1895","5628","68",""
"Lee ","16","16","2000","4312","53",""
"Leon ","15","15","1415","5563","52",""
"Liberty ","33","33","5980","15417","156",""
"Limestone ","23","23","2515","5062","55",""
"Lipscomb ","8","8","155","1092","4",""
"Live Oak ","15","15","1038","3079","24",""
"Llano ","10","10","2250","7279","80",""
"Loving ","5","5","12","67","0",""
"Lubbock ","98","98","30295","66028","640",""
"Lynn ","15","15","623","1469","16",""
"Madison ","9","9","1144","2883","23",""
"Marion ","11","11","1644","2566","27",""
"Martin ","7","7","314","1389","12",""
"Mason ","5","5","546","1543","28",""
"Matagorda ","19","19","6682","11929","122",""
"Maverick ","15","15","8554","2316","64",""
"McCulloch ","11","11","728","2263","19",""
"McLennan ","93","93","29959","49005","491",""
"McMullen ","6","6","131","400","5",""
"Medina ","23","23","5119","10404","77",""
"Menard ","7","7","295","712","8",""
"Midland ","40","40","9672","36135","308",""
"Milam ","12","12","3040","5215","69",""
"Mills ","8","8","398","1753","21",""
"Mitchell ","7","7","586","1814","23",""
"Montague ","16","16","1594","6235","94",""
"Montgomery ","86","86","36530","119542","950",""
"Moore ","8","8","1123","4282","31",""
"Morris ","10","10","2054","3157","30",""
"Motley ","7","7","67","522","5",""
"Nacogdoches ","24","24","8393","14828","580",""
"Navarro ","35","35","5399","10803","105",""
"Newton ","23","23","1750","3440","60",""
"Nolan ","15","15","1521","3485","54",""
"Nueces ","127","127","47811","52264","790",""
"Ochiltree ","5","5","243","2851","6",""
"Oldham ","8","8","102","813","4",""
"Orange ","35","35","7646","21509","227",""
"Palo Pinto ","31","31","2499","7264","78",""
"Panola ","21","21","2586","7582","38",""
"Parker ","44","44","10429","36646","380",""
"Parmer ","10","10","719","2969","20",""
"Pecos ","10","10","1476","2480","40",""
"Polk ","21","21","6215","13703","179",""
"Potter ","27","27","8932","20741","250",""
"Presidio ","8","8","1250","489","15",""
"Rains ","8","8","1041","3130","37",""
"Randall ","30","30","9461","41895","336",""
"Reagan ","5","5","197","795","2",""
"Real ","5","5","375","1237","15",""
"Red River ","23","23","1538","3461","41",""
"Reeves ","13","13","1605","1444","21",""
"Refugio ","11","11","1382","1853","21",""
"Roberts ","6","6","41","477","0",""
"Robertson ","16","16","2674","3979","37",""
"Rockwall ","17","17","8468","23243","236",""
"Runnels ","6","6","720","3118","25",""
"Rusk ","23","23","4983","13641","77",""
"Sabine ","9","9","1077","3749","48",""
"San Augustine ","12","12","1327","2338","42",""
"San Jacinto ","12","12","2721","6151","74",""
"San Patricio ","33","33","8842","12390","109",""
"San Saba ","5","5","487","1941","24",""
"Schleicher ","5","5","322","969","7",""
"Scurry ","12","12","1088","4414","41",""
"Shackelford ","8","8","208","1284","13",""
"Shelby ","15","15","2546","6629","38",""
"Sherman ","7","7","78","493","5",""
"Smith ","81","81","23628","54995","410",""
"Somervell ","7","7","798","2675","34",""
"Starr ","11","11","8233","1488","26",""
"Stephens ","7","7","626","2869","30",""
"Sterling ","5","5","97","520","2",""
"Stonewall ","5","5","206","524","5",""
"Sutton ","7","7","381","1189","8",""
"Swisher ","9","9","812","1676","33",""
"Tarrant ","639","639","274101","347843","4204",""
"Taylor ","36","36","12658","34265","362",""
"Terrell ","5","5","186","323","3",""
"Terry ","9","9","1379","2863","22",""
"Throckmorton ","6","6","166","671","1",""
"Titus ","21","21","3140","6023","67",""
"Tom Green ","35","35","11068","27201","272",""
"Travis ","211","211","253278","136671","4915",""
"Trinity ","20","20","1924","4091","52",""
"Tyler ","18","18","2159","5633","98",""
"Upshur ","22","22","2106","5871","54",""
"Upton ","7","7","288","898","8",""
"Uvalde ","15","15","4120","4585","50",""
"Val Verde ","18","18","6982","5752","68",""
"Van Zandt ","22","22","4503","15727","142",""
"Victoria ","36","36","9829","19876","168",""
"Walker ","19","19","7323","11610","148",""
"Waller ","19","19","7107","8238","76",""
"Ward ","9","9","899","2667","31",""
"Washington ","33","33","4031","10173","89",""
"Webb ","60","60","33435","13111","200",""
"Wharton ","23","23","4935","9427","39",""
"Wheeler ","11","11","314","1916","11",""
"Wichita ","36","36","13828","31673","328",""
"Wilbarger ","7","7","1196","3279","30",""
"Willacy ","12","12","3405","1454","32",""
"Williamson ","100","100","67347","87938","1937",""
"Wilson ","25","25","5360","10903","87",""
"Winkler ","6","6","477","1529","23",""
"Wise ","23","23","4469","15967","145",""
"Wood ","13","13","3996","13638","91",""
"Yoakum ","7","7","450","1989","15",""
"Young ","10","10","1302","5938","56",""
"Zapata ","8","8","1939","918","8",""
"Zavala ","7","7","3263","596","17",""
